"Site_ID"	"Site_Name"	"Site_Lon"	"Site_Lat"
"S00035"	"基隆市-月眉國小"	"121.7568"	"25.1250"
"S00118"	"基隆市-堵南國小"	"121.6868"	"25.0831"
"S00024"	"台北市-公館國小"	"121.5430"	"25.0120"
"S00109"	"台北市-陽明山國小"	"121.5240"	"25.1360"
"S00110"	"台北市-桃源國小"	"121.5070"	"25.1540"
"S00034"	"新北市-民義國小"	"121.3752"	"24.9114"
"S00108"	"新北市-同榮國小"	"121.4040"	"25.0540"
"S00111"	"新北市-永定國小"	"121.6380"	"24.9510"
"S00112"	"新北市-上林國小"	"121.8220"	"25.0000"
"S00114"	"新北市-直潭國小"	"121.5311"	"24.9378"
"S00113"	"新北市-大鵬國小"	"121.6508"	"25.2083"
"S00077"	"桃園市-壽山國小"	"121.3440"	"25.0230"
"S00095"	"桃園市-頭洲國小"	"121.1417"	"24.9634"
"S00076"	"桃園市-百吉國小"	"121.2920"	"24.8720"
"S00022"	"新竹縣-碧潭國小"	"121.1033"	"24.7464"
"S00099"	"新竹縣-照東國小"	"121.1413"	"24.8448"
"S00097"	"新竹縣-瑞峰國小"	"121.1218"	"24.6618"
"S00098"	"新竹縣-尖石國小"	"121.2263"	"24.7283"
"S00100"	"新竹縣-福龍國小"	"120.9900"	"24.9050"
"S00096"	"新竹市-青草湖國小"	"120.9785"	"24.7690"
"S00023"	"苗栗縣-獅潭國小"	"120.9210"	"24.5401"
"S00074"	"苗栗縣-三灣國小"	"120.9560"	"24.6562"
"S00073"	"苗栗縣-興隆國小"	"120.8116"	"24.4627"
"S00089"	"苗栗縣-清安國小"	"120.9255"	"24.4400"
"S00088"	"苗栗縣-福興武術國(中)小"	"120.7277"	"24.4254"
"S00106"	"苗栗縣-士林國小"	"121.0740"	"24.4060"
"S00107"	"苗栗縣-僑文國小"	"120.7500"	"24.5360"
"S00015"	"台中市-新興國小"	"120.7030"	"24.2130"
"S00072"	"台中市-七星國小"	"120.6980"	"24.3190"
"S00071"	"台中市-槺榔國小"	"120.5452"	"24.2640"
"S00080"	"台中市-中和國小"	"120.8283"	"24.1572"
"S00081"	"台中市-土牛國小"	"120.8078"	"24.2661"
"S00079"	"台中市-吉峰國小"	"120.7188"	"24.0799"
"S00078"	"台中市-文武國小"	"120.6380"	"24.3800"
"S00018"	"彰化縣-東和國小"	"120.6059"	"23.8674"
"S00070"	"彰化縣-華龍國小"	"120.5141"	"24.0375"
"S00069"	"彰化縣-興華國小"	"120.3953"	"23.8913"
"S00067"	"雲林縣-大興國小"	"120.2106"	"23.5658"
"S00068"	"雲林縣-宏崙國小"	"120.3483"	"23.6869"
"S00075"	"雲林縣-育仁國小"	"120.5270"	"23.7670"
"S00021"	"南投縣-頭社國小"	"120.9025"	"23.8370"
"S00082"	"南投縣-光榮國小"	"120.6969"	"23.9457"
"S00083"	"南投縣-長福國小"	"120.8252"	"24.0278"
"S00084"	"南投縣-廣福國小"	"120.7596"	"23.8990"
"S00085"	"南投縣-瑞竹國小"	"120.6661"	"23.6637"
"S00086"	"南投縣-鳳凰國小"	"120.7810"	"23.7428"
"S00087"	"南投縣-同富國小"	"120.8884"	"23.5938"
"S00105"	"南投縣-清境國小"	"121.1350"	"24.0290"
"S00104"	"南投縣-麒麟國小"	"120.9610"	"23.9800"
"S00043"	"嘉義縣-三興國小"	"120.4750"	"23.5575"
"S00044"	"嘉義縣-桃源國小"	"120.5860"	"23.4737"
"S00102"	"嘉義縣-達邦國小"	"120.7910"	"23.4510"
"S00103"	"嘉義縣-灣內國小"	"120.2540"	"23.5170"
"S00014"	"嘉義市-育人國小"	"120.4164"	"23.4725"
"S00004"	"嘉義市-港坪國小"	"120.4252"	"23.4786"
"S00020"	"台南市-嘉南國小"	"120.3651"	"23.2172"
"S00066"	"台南市-仁光國小"	"120.2574"	"23.2999"
"S00065"	"台南市-塭內國小"	"120.1655"	"23.1255"
"S00064"	"台南市-德高國小"	"120.2362"	"22.9633"
"S00090"	"台南市-那拔國小"	"120.3491"	"23.0685"
"S00091"	"台南市-仙草國小"	"120.4740"	"23.3446"
"S00092"	"台南市-西埔國小"	"120.4459"	"23.0460"
"S00101"	"台南市-瑞峰國小"	"120.5600"	"23.1230"
"S00032"	"高雄市-溪洲國小"	"120.4646"	"22.8477"
"S00031"	"高雄市-新庄國小"	"120.5598"	"22.9892"
"S00063"	"高雄市-北嶺國小"	"120.2691"	"22.8238"
"S00060"	"高雄市-忠義國小"	"120.3835"	"22.6162"
"S00062"	"高雄市-永清國小"	"120.2888"	"22.6747"
"S00061"	"高雄市-嘉誠國小"	"120.3801"	"22.7486"
"S00030"	"屏東縣-赤山國小"	"120.6147"	"22.5919"
"S00057"	"屏東縣-楓林國小"	"120.7069"	"22.1997"
"S00056"	"屏東縣-春日國小"	"120.6269"	"22.3699"
"S00058"	"屏東縣-大平國小"	"120.7204"	"22.0233"
"S00059"	"屏東縣-口社國小"	"120.6449"	"22.7664"
"S00093"	"屏東縣-崁頂國小"	"120.5115"	"22.5141"
"S00094"	"屏東縣-德協國小"	"120.5412"	"22.6943"
"S00003"	"宜蘭縣-宜蘭國小"	"121.7544"	"24.7530"
"S00005"	"宜蘭縣-南安國中"	"121.8679"	"24.5786"
"S00050"	"宜蘭縣-南安國小-上"	"121.8684"	"24.5793"
"S00051"	"宜蘭縣-南安國小(下)"	"121.8684"	"24.5793"
"S00116"	"宜蘭縣-萬富國小"	"121.6883"	"24.6796"
"S00117"	"宜蘭縣-南山國小"	"121.3810"	"24.4380"
"S00115"	"宜蘭縣-梗枋國小"	"121.8623"	"24.9006"
"S00007"	"花蓮縣-玉東國中"	"121.3710"	"23.4171"
"S00006"	"花蓮縣-光復國小"	"121.4265"	"23.6737"
"S00019"	"花蓮縣-稻香國小"	"121.5687"	"23.9630"
"S00045"	"花蓮縣-和平國小"	"121.7490"	"24.3081"
"S00046"	"花蓮縣-富世國小"	"121.6290"	"24.1475"
"S00047"	"花蓮縣-長良國小"	"121.3490"	"23.3800"
"S00048"	"花蓮縣-富源國小"	"121.4000"	"23.5210"
"S00049"	"花蓮縣-豐裡國小"	"121.5170"	"23.8410"
"S00028"	"台東縣-豐里國小"	"121.1218"	"22.7372"
"S00027"	"台東縣-初來國小"	"121.1694"	"23.1170"
"S00052"	"台東縣-嘉蘭國小"	"120.9616"	"22.5951"
"S00053"	"台東縣-安朔國小"	"120.8679"	"22.2940"
"S00054"	"台東縣-興隆國小"	"121.2483"	"22.8951"
"S00055"	"台東縣-龍田國小"	"121.1240"	"22.9045"
"S00119"	"蘭嶼高中附設國中"	"121.5118"	"22.0501"
"S00120"	"蘭嶼國小"	"121.5608"	"22.0186"
